Rep,Temp,FVFM
1,26,0.566
1,27,0.5514
1,28,0.5586
1,29,0.5513
1,30,0.5369
1,31,0.5237
1,32,0.5031
1,33,0.3426
1,34,0.0405
1,35,0.0187
1,26,0.566
1,25,0.5546
1,24,0.5685
1,23,0.5419
1,22,0.5369
1,21,0.5319
1,20,0.5255
1,19,0.5441
1,18,0.5217
1,17,0.5093
2,26,0.5785
2,27,0.5587
2,28,0.5491
2,29,0.5524
2,30,0.5395
2,31,0.5265
2,32,0.4473
2,33,0.2584
2,34,0.0291
2,35,0.0179
2,26,0.5785
2,25,0.5575
2,24,0.5654
2,23,0.5403
2,22,0.5333
2,21,0.5265
2,20,0.5127
2,19,0.5161
2,18,0.4902
2,17,0.4794
3,26,0.5947
3,27,0.5055
3,28,0.4887
3,29,0.5314
3,30,0.5009
3,31,0.4859
3,32,0.4485
3,33,0.3214
3,34,0.0073
3,35,0.0185
3,26,0.5947
3,25,0.5542
3,24,0.5662
3,23,0.5458
3,22,0.5417
3,21,0.5336
3,20,0.5286
3,19,0.5491
3,18,0.539
3,17,0.5347
