Rep,Temp,LightFVFM
1,26,0.125
1,27,0.1323
1,28,0.1296
1,29,0.1319
1,30,0.1093
1,31,0.0977
1,32,0.0823
1,33,0.049
1,34,0.0142
1,35,0.0168
1,26,0.125
1,25,0.1165
1,24,0.1247
1,23,0.1068
1,22,0.0933
1,21,0.0738
1,20,0.0671
1,19,0.0976
1,18,0.0883
1,17,0.0664
2,26,0.13055
2,27,0.1375
2,28,0.1054
2,29,0.1351
2,30,0.102
2,31,0.0892
2,32,0.0756
2,33,0.0457
2,34,0.0159
2,35,0.0246
2,26,0.13055
2,25,0.1306
2,24,0.0339
2,23,0.1089
2,22,0.0967
2,21,0.0764
2,20,0.0613
2,19,0.0874
2,18,0.0917
2,17,0.0535
3,26,0.1317
3,27,0.1308
3,28,0.1028
3,29,0.1325
3,30,0.1056
3,31,0.0921
3,32,0.0762
3,33,0.0468
3,34,0.0148
3,35,0.0243
3,26,0.1317
3,25,0.1174
3,24,0.1207
3,23,0.1035
3,22,0.0854
3,21,0.0727
3,20,0.052
3,19,0.0866
3,18,0.098
3,17,0.0669
