Rep,Temp,FVFM
1,26,0.58535
1,27,0.567
1,28,0.5788
1,29,0.5682
1,30,0.5526
1,31,0.5363
1,32,0.4816
1,33,0.3137
1,34,0.0456
1,35,0.0193
1,26,0.58535
1,25,0.5611
1,24,0.5658
1,23,0.5589
1,22,0.5255
1,21,0.5175
1,20,0.4897
1,19,0.5001
1,18,0.5014
1,17,0.493
2,26,0.58765
2,27,0.5742
2,28,0.5811
2,29,0.566
2,30,0.563
2,31,0.5592
2,32,0.5044
2,33,0.3449
2,34,0.0284
2,35,0.0158
2,26,0.58765
2,25,0.5632
2,24,0.5604
2,23,0.5656
2,22,0.5425
2,21,0.5047
2,20,0.4928
2,19,0.5059
2,18,0.504
2,17,0.4758
3,26,0.5936
3,27,0.5738
3,28,0.5826
3,29,0.5745
3,30,0.5627
3,31,0.5604
3,32,0.4911
3,33,0.3461
3,34,0.0433
3,35,0.0106
3,26,0.5936
3,25,0.5729
3,24,0.5753
3,23,0.568
3,22,0.5336
3,21,0.5026
3,20,0.4848
3,19,0.5057
3,18,0.5124
3,17,0.4923
