Rep,Temp,LightFVFM
1,26,0.12315
1,27,0.0863
1,28,0.0823
1,29,0.0858
1,30,0.0675
1,31,0.0664
1,32,0.0638
1,33,0.0494
1,34,0.0455
1,35,0.0204
1,26,0.12315
1,25,0.0979
1,24,0.1445
1,23,0.101
1,22,0.1095
1,21,0.0787
1,20,0.0842
1,19,0.1246
1,18,0.1286
1,17,0.1026
2,26,0.1652
2,27,0.1686
2,28,0.1438
2,29,0.1337
2,30,0.0753
2,31,0.074
2,32,0.0747
2,33,0.0713
2,34,0.0626
2,35,0.0344
2,26,0.1652
2,25,0.1465
2,24,0.1471
2,23,0.1066
2,22,0.1176
2,21,0.0957
2,20,0.0951
2,19,0.1167
2,18,0.1061
2,17,0.0769
3,26,0.13005
3,27,0.0735
3,28,0.0858
3,29,0.0957
3,30,0.0805
3,31,0.0707
3,32,0.0624
3,33,0.0493
3,34,0.0399
3,35,0.0127
3,26,0.13005
3,25,0.1151
3,24,0.1312
3,23,0.0968
3,22,0.0958
3,21,0.075
3,20,0.0855
3,19,0.1236
3,18,0.1097
3,17,0.0827
