Rep,Temp,FVFM
1,26,0.53345
1,27,0.5276
1,28,0.5387
1,29,0.5211
1,30,0.4891
1,31,0.4687
1,32,0.4417
1,33,0.4143
1,34,0.3824
1,35,0.2041
1,26,0.53345
1,25,0.5477
1,24,0.5234
1,23,0.5449
1,22,0.5436
1,21,0.5352
1,20,0.5361
1,19,0.4912
1,18,0.5018
1,17,0.5023
2,26,0.52925
2,27,0.5342
2,28,0.5691
2,29,0.5441
2,30,0.5566
2,31,0.5476
2,32,0.5269
2,33,0.5006
2,34,0.4591
2,35,0.3478
2,26,0.52925
2,25,0.5202
2,24,0.5197
2,23,0.5357
2,22,0.5417
2,21,0.5364
2,20,0.5193
2,19,0.4908
2,18,0.5101
2,17,0.4971
3,26,0.5295
3,27,0.5145
3,28,0.5403
3,29,0.5184
3,30,0.4899
3,31,0.46
3,32,0.4453
3,33,0.4174
3,34,0.3731
3,35,0.2149
3,26,0.5295
3,25,0.5291
3,24,0.5282
3,23,0.5454
3,22,0.5405
3,21,0.5337
3,20,0.5282
3,19,0.491
3,18,0.5061
3,17,0.4941
