Rep,Temp,FVFM
1,26,0.5708
1,27,0.5452
1,28,0.5692
1,29,0.5567
1,30,0.538
1,31,0.5156
1,32,0.4875
1,33,0.3575
1,34,0.1653
1,35,0.004
1,26,0.5708
1,25,0.5611
1,24,0.5706
1,23,0.5743
1,22,0.5585
1,21,0.5453
1,20,0.5359
1,19,0.5329
1,18,0.5317
1,17,0.5005
2,26,0.579
2,27,0.5457
2,28,0.5651
2,29,0.5501
2,30,0.548
2,31,0.5284
2,32,0.4999
2,33,0.3647
2,34,0.1457
2,35,0.0187
2,26,0.579
2,25,0.5712
2,24,0.5578
2,23,0.568
2,22,0.571
2,21,0.5532
2,20,0.5557
2,19,0.5536
2,18,0.5427
2,17,0.5111
3,26,0.5711
3,27,0.5571
3,28,0.5575
3,29,0.5474
3,30,0.5326
3,31,0.5221
3,32,0.4921
3,33,0.3791
3,34,0.1046
3,35,0.025
3,26,0.5711
3,25,0.5607
3,24,0.5584
3,23,0.5581
3,22,0.5554
3,21,0.5365
3,20,0.5319
3,19,0.5327
3,18,0.5186
3,17,0.4909
