Rep,Temp,LightFVFM
1,26,0.1067
1,27,0.1122
1,28,0.1088
1,29,0.0906
1,30,0.0775
1,31,0.0504
1,32,0.0339
1,33,0.0131
1,34,0.0191
1,35,0.0208
1,26,0.1067
1,25,0.1267
1,24,0.1228
1,23,0.1148
1,22,0.0985
1,21,0.0919
1,20,0.0841
1,19,0.1172
1,18,0.1242
1,17,0.0928
2,26,0.112
2,27,0.117
2,28,0.1044
2,29,0.1038
2,30,0.0757
2,31,0.0737
2,32,0.0106
2,33,0.0089
2,34,0.0181
2,35,0.0124
2,26,0.112
2,25,0.127
2,24,0.1258
2,23,0.1271
2,22,0.139
2,21,0.1207
2,20,0.1341
2,19,0.1429
2,18,0.1516
2,17,0.1107
3,26,0.10965
3,27,0.0965
3,28,0.0826
3,29,0.0831
3,30,0.0679
3,31,0.0538
3,32,0.002
3,33,0.0136
3,34,0.0193
3,35,0.0157
3,26,0.10965
3,25,0.1256
3,24,0.1249
3,23,0.1172
3,22,0.113
3,21,0.0943
3,20,0.0893
3,19,0.1281
3,18,0.1389
3,17,0.0915
