Rep,Temp,FVFM
1,26,0.5669
1,27,0.5565
1,28,0.5514
1,29,0.5524
1,30,0.5191
1,31,0.4777
1,32,0.4003
1,33,0.2300
1,34,0.0023
1,35,0.0340
1,26,0.5669
1,25,0.5749
1,24,0.5750
1,23,0.5693
1,22,0.5414
1,21,0.5266
1,20,0.4939
1,19,0.5014
1,18,0.4813
1,17,0.4039
2,26,0.5960
2,27,0.5685
2,28,0.5595
2,29,0.5520
2,30,0.5271
2,31,0.4905
2,32,0.3824
2,33,0.2276
2,34,0.0264
2,35,0.0107
2,26,0.5960
2,25,0.5800
2,24,0.5746
2,23,0.5706
2,22,0.5592
2,21,0.5502
2,20,0.5449
2,19,0.5302
2,18,0.5110
2,17,0.4553
3,26,0.5876
3,27,0.5639
3,28,0.5441
3,29,0.5225
3,30,0.4952
3,31,0.4581
3,32,0.3643
3,33,0.1897
3,34,0.0171
3,35,0.0176
3,26,0.5876
3,25,0.5847
3,24,0.5797
3,23,0.5738
3,22,0.5516
3,21,0.5431
3,20,0.5277
3,19,0.5136
3,18,0.4919
3,17,0.4459
