Rep,Temp,FVFM
1,26,0.5944
1,27,0.5763
1,28,0.6025
1,29,0.5667
1,30,0.5537
1,31,0.5344
1,32,0.4602
1,33,0.2681
1,34,0.0414
1,35,0.0164
1,26,0.5944
1,25,0.5649
1,24,0.5535
1,23,0.5588
1,22,0.5512
1,21,0.5374
1,20,0.5109
1,19,0.5226
1,18,0.5159
1,17,0.5089
2,26,0.5741
2,27,0.5699
2,28,0.5636
2,29,0.5696
2,30,0.5649
2,31,0.5373
2,32,0.4656
2,33,0.3132
2,34,0.0166
2,35,0.0195
2,26,0.5741
2,25,0.5622
2,24,0.5602
2,23,0.5717
2,22,0.5541
2,21,0.5307
2,20,0.5189
2,19,0.5174
2,18,0.5306
2,17,0.5318
3,26,0.5758
3,27,0.5711
3,28,0.5740
3,29,0.5656
3,30,0.5699
3,31,0.5494
3,32,0.4915
3,33,0.3775
3,34,0.0586
3,35,0.0142
3,26,0.5758
3,25,0.5700
3,24,0.5590
3,23,0.5723
3,22,0.5531
3,21,0.5326
3,20,0.5066
3,19,0.5265
3,18,0.5282
3,17,0.5209
