Rep,Temp,LightFVFM
1,26,0.1222
1,27,0.1392
1,28,0.1143
1,29,0.1238
1,30,0.1026
1,31,0.093
1,32,0.0495
1,33,0.0314
1,34,0.013
1,35,0.0215
1,26,0.1222
1,25,0.0932
1,24,0.1492
1,23,0.1251
1,22,0.1145
1,21,0.0895
1,20,0.0848
1,19,0.1053
1,18,0.1017
1,17,0.0917
2,26,0.143
2,27,0.1053
2,28,0.0918
2,29,0.0261
2,30,0.0805
2,31,0.0778
2,32,0.052
2,33,0.0381
2,34,0.0166
2,35,0.0172
2,26,0.143
2,25,0.1301
2,24,0.1477
2,23,0.1178
2,22,0.0939
2,21,0.0776
2,20,0.0731
2,19,0.1334
2,18,0.1091
2,17,0.1002
3,26,0.13195
3,27,0.1436
3,28,0.1429
3,29,0.1368
3,30,0.1169
3,31,0.0995
3,32,0.075
3,33,0.0476
3,34,0.0117
3,35,0.0132
3,26,0.13195
3,25,0.104
3,24,0.1408
3,23,0.1163
3,22,0.1079
3,21,0.0815
3,20,0.0755
3,19,0.1052
3,18,0.1017
3,17,0.0848
