Rep,Temp,FVFM
1,26,0.5914
1,27,0.5811
1,28,0.5393
1,29,0.4898
1,30,0.4855
1,31,0.4631
1,32,0.4318
1,33,0.4232
1,34,0.3882
1,35,0.1456
1,26,0.5914
1,25,0.5352
1,24,0.5809
1,23,0.5575
1,22,0.5021
1,21,0.4702
1,20,0.4249
1,19,0.4573
1,18,0.4472
1,17,0.4153
2,26,0.6068
2,27,0.5809
2,28,0.5626
2,29,0.5757
2,30,0.5103
2,31,0.4572
2,32,0.4543
2,33,0.4169
2,34,0.3816
2,35,0.2234
2,26,0.6068
2,25,0.5194
2,24,0.5477
2,23,0.5175
2,22,0.4663
2,21,0.4405
2,20,0.4005
2,19,0.4379
2,18,0.4305
2,17,0.4058
3,26,0.6047
3,27,0.5875
3,28,0.5727
3,29,0.5679
3,30,0.4945
3,31,0.4520
3,32,0.4366
3,33,0.4046
3,34,0.4066
3,35,0.2227
3,26,0.6047
3,25,0.5444
3,24,0.5812
3,23,0.5463
3,22,0.5037
3,21,0.4573
3,20,0.4229
3,19,0.4556
3,18,0.4481
3,17,0.4291
