Rep,Temp,LightFVFM
1,26,0.17665
1,27,0.1493
1,28,0.1082
1,29,0.0827
1,30,0.0545
1,31,0.079
1,32,0.0648
1,33,0.0622
1,34,0.0499
1,35,0.0012
1,26,0.17665
1,25,0.1337
1,24,0.182
1,23,0.1046
1,22,0.1046
1,21,0.0851
1,20,0.082
1,19,0.1127
1,18,0.1044
1,17,0.0686
2,26,0.18415
2,27,0.1761
2,28,0.1187
2,29,0.2147
2,30,0.0735
2,31,0.064
2,32,0.0459
2,33,0.0452
2,34,0.0381
2,35,0.0185
2,26,0.18415
2,25,0.1452
2,24,0.1074
2,23,0.0802
2,22,0.0884
2,21,0.075
2,20,0.0722
2,19,0.1013
2,18,0.0882
2,17,0.052
3,26,0.17705
3,27,0.2367
3,28,0.1422
3,29,0.2118
3,30,0.089
3,31,0.0932
3,32,0.0628
3,33,0.0519
3,34,0.0419
3,35,0.0207
3,26,0.17705
3,25,0.1258
3,24,0.1341
3,23,0.0942
3,22,0.0952
3,21,0.0833
3,20,0.0742
3,19,0.0979
3,18,0.0995
3,17,0.065
